Timestamp,FPS,Delay_ms,TrackedFeatures,Pose_X,Pose_Z
21:50:16.818,0.7,1205.1,0,0.0000,0.0000
21:50:16.927,8.1,81.2,306,0.2380,-0.9676
21:50:17.052,8.0,122.5,391,0.1905,-1.9663
21:50:17.132,12.6,77.4,390,-0.7321,-2.3521
21:50:17.230,10.2,96.0,407,-1.7259,-2.2431
21:50:17.329,10.1,96.5,420,-0.9047,-2.8117
21:50:17.439,9.1,107.8,446,-0.0112,-3.2608
21:50:17.542,9.6,101.4,455,-0.0698,-4.2591
21:50:17.638,10.4,92.5,452,-0.0693,-5.2541
21:50:17.737,10.1,96.8,450,-0.6094,-6.0941
21:50:17.826,11.3,86.4,463,-1.1414,-6.9408
21:50:17.926,10.0,97.8,487,-0.4271,-7.6388
21:50:18.013,11.5,85.1,500,-0.0216,-6.7248
21:50:18.090,13.0,74.7,500,0.7111,-6.0443
21:50:18.141,19.4,49.5,518,1.2222,-5.1848
21:50:18.203,16.3,48.9,517,1.7311,-4.3274
21:50:18.254,19.6,48.0,517,2.2233,-3.4579
21:50:18.293,25.5,36.8,516,2.5721,-2.5398
21:50:18.337,22.8,40.1,516,3.2756,-3.2495
21:50:18.376,25.2,36.1,516,4.1747,-2.8906
21:50:18.418,24.2,38.8,515,4.9080,-2.2320
21:50:18.460,23.8,39.7,515,5.4690,-1.4044
21:50:18.506,21.6,43.9,511,6.0263,-0.5821
21:50:18.554,21.0,44.0,511,6.5404,0.2738
21:50:18.587,30.0,31.8,510,5.9244,-0.5140
21:50:18.628,24.3,38.3,510,5.2389,-1.2372
21:50:18.678,20.2,46.7,509,5.7179,-2.1149
21:50:18.720,23.9,39.4,505,5.2736,-3.0024
21:50:18.764,22.7,40.8,502,4.9676,-2.0503
21:50:18.805,24.2,38.1,500,4.6623,-2.9968
21:50:18.847,23.7,39.2,500,4.3841,-3.9314
21:50:18.891,22.8,41.0,500,5.0716,-4.6261
21:50:18.934,23.7,39.7,500,5.6728,-5.4223
21:50:18.976,23.3,39.8,500,6.6228,-5.2975
21:50:19.017,24.6,37.8,500,5.9773,-6.0612
21:50:19.064,21.3,43.6,500,5.8367,-5.1120
21:50:19.111,21.1,44.3,500,5.6518,-4.1297
21:50:19.166,18.4,51.0,500,4.8571,-4.3050
21:50:19.213,21.0,44.9,500,4.3823,-5.0711
21:50:19.289,13.1,72.8,556,3.5887,-5.0116
21:50:19.355,15.3,63.4,556,2.8654,-5.2140
21:50:19.432,12.9,75.0,556,3.2117,-4.3796
21:50:19.511,12.7,76.2,556,2.6443,-3.6204
21:50:19.570,16.8,57.0,554,2.8860,-4.5144
21:50:19.621,19.6,49.1,554,2.8661,-5.5129
21:50:19.671,20.1,42.1,554,2.4651,-6.2692
21:50:19.715,22.9,41.4,554,2.1258,-7.0688
21:50:19.764,20.2,48.0,554,1.7417,-7.7765
21:50:19.811,21.5,44.7,554,1.5190,-8.7075
21:50:19.849,26.4,36.4,553,1.0693,-9.3471
21:50:19.900,19.4,47.8,553,0.6256,-9.9562
21:50:19.951,19.5,47.5,552,0.4933,-9.0459
21:50:19.997,22.1,42.6,550,0.2566,-8.0787
21:50:20.043,21.7,42.8,548,0.4748,-7.1414
21:50:20.089,21.6,43.1,547,0.3577,-6.1544
21:50:20.131,23.9,39.4,546,-0.1304,-5.3887
21:50:20.172,24.2,38.9,546,0.3535,-6.2066
21:50:20.217,22.5,41.6,545,0.4078,-5.2267
21:50:20.259,23.5,38.6,545,0.9256,-6.0509
21:50:20.300,24.5,39.0,545,0.1642,-6.5994
21:50:20.347,21.5,45.0,541,-0.6598,-6.2891
21:50:20.387,24.6,38.2,540,-1.4250,-6.2725
21:50:20.424,27.3,34.9,540,-1.0696,-6.7300
21:50:20.469,22.2,42.2,540,-0.3506,-7.3923
21:50:20.513,22.9,40.3,540,-0.1458,-6.9529
21:50:20.556,22.8,40.1,540,-0.2194,-6.3831
21:50:20.596,25.1,36.1,540,-0.3385,-6.8301
21:50:20.638,24.2,39.6,540,0.0968,-7.5153
21:50:20.682,22.7,42.3,540,0.6715,-8.1997
21:50:20.724,23.6,40.3,540,0.2984,-7.2764
21:50:20.766,23.7,40.5,540,0.5010,-7.6927
21:50:20.809,23.2,41.5,540,0.3694,-6.7547
21:50:20.852,23.6,40.8,540,0.0095,-6.1562
21:50:20.891,25.5,37.6,540,-0.1609,-5.2632
21:50:20.933,23.6,39.4,540,-0.8072,-4.5286
21:50:20.972,26.0,36.8,540,-0.6877,-3.5867
21:50:21.017,22.1,42.9,540,-0.7606,-2.6537
21:50:21.523,2.0,40.2,539,0.0814,-3.1765
21:50:21.581,17.0,55.8,580,0.2127,-2.9749
21:50:21.631,20.1,47.1,563,-0.5329,-3.6342
21:50:21.673,23.9,40.1,562,0.2707,-3.1590
21:50:21.714,24.7,37.9,561,1.0548,-2.6299
21:50:21.760,21.4,45.0,561,0.6454,-2.9997
21:50:21.809,20.7,45.3,561,-0.1007,-3.6576
21:50:21.854,21.8,43.9,561,0.7511,-3.1903
21:50:21.889,29.1,31.8,561,1.3832,-2.5718
21:50:21.936,21.3,44.8,561,0.5654,-2.9560
21:50:22.019,12.1,81.1,561,1.0272,-2.5548
21:50:22.083,15.6,60.6,560,1.4936,-2.2556
21:50:22.136,18.9,48.3,556,1.4178,-3.2376
21:50:22.180,22.5,41.1,553,1.3404,-2.9190
21:50:22.232,19.3,48.9,550,1.3130,-1.9298
21:50:22.274,24.1,38.7,546,1.3138,-0.9951
21:50:22.329,18.0,52.2,546,1.2576,-1.9315
21:50:22.378,20.5,47.3,546,1.2091,-1.2112
21:50:22.425,21.1,44.4,546,1.2495,-0.3298
21:50:22.473,20.9,44.7,544,1.2189,-1.2586
21:50:22.518,22.3,42.8,543,1.1636,-2.0163
21:50:22.561,23.1,40.3,543,1.1242,-2.9982
21:50:22.603,24.2,39.3,541,1.0404,-3.9066
21:50:22.644,23.9,38.9,541,1.2432,-2.9302
21:50:22.692,20.8,45.6,541,1.2202,-3.7450
21:50:22.737,22.6,41.7,540,1.1685,-4.5308
21:50:22.779,23.8,40.3,540,0.7482,-5.2928
21:50:22.824,22.3,42.9,537,0.6800,-5.0002
21:50:22.866,23.3,39.3,535,0.6515,-4.5878
21:50:22.911,22.5,42.0,535,1.0220,-3.7998
21:50:22.956,22.3,42.8,535,0.6303,-3.7420
21:50:22.998,23.8,40.1,535,0.5587,-4.2972
21:50:23.039,24.1,38.9,535,0.8475,-3.4707
21:50:23.081,23.9,39.9,535,1.4257,-2.9026
21:50:23.125,22.9,41.6,535,1.1517,-2.1839
21:50:23.164,25.8,37.1,535,0.6424,-2.2040
21:50:23.201,26.7,35.3,535,1.5191,-2.2135
21:50:23.245,22.7,42.0,535,2.4323,-2.1320
21:50:23.290,22.0,43.6,535,1.5357,-2.2340
21:50:23.331,24.9,38.4,535,1.5190,-1.7106
21:50:23.370,25.1,38.0,535,1.3169,-0.9105
21:50:23.413,23.4,41.0,535,0.9604,-1.4848
21:50:23.455,23.8,39.2,535,0.6060,-0.8337
21:50:23.502,21.2,45.6,535,0.6814,0.1607
21:50:23.541,25.9,36.2,535,1.3740,0.8756
21:50:23.584,23.3,41.0,535,1.3654,1.8183
21:50:23.627,23.3,41.0,535,1.4453,2.7562
21:50:23.664,27.2,35.1,535,1.6062,3.7429
21:50:23.695,31.5,30.3,535,2.2815,4.0007
21:50:23.741,21.8,43.1,535,1.4866,4.3478
21:50:23.789,21.2,45.5,535,1.3787,5.2808
21:50:23.828,25.2,37.5,535,0.8726,4.8104
21:50:23.865,27.2,35.1,535,1.1528,3.9676
21:50:23.910,22.1,42.7,535,0.8594,4.8069
21:50:23.955,22.1,42.8,535,0.0136,5.0292
21:50:24.000,22.4,43.1,535,-0.8495,5.2455
21:50:24.042,24.0,39.9,535,-1.4423,4.7596
21:50:24.090,20.8,45.2,535,-1.8028,3.8693
21:50:24.135,22.3,42.9,535,-1.5930,4.8308
21:50:24.180,22.1,43.0,535,-1.4951,5.7780
21:50:24.223,23.1,41.7,534,-2.4049,5.6395
21:50:24.265,24.2,38.9,534,-1.7718,6.4058
21:50:24.303,25.9,36.4,534,-1.0358,6.7568
21:50:24.349,22.0,43.0,534,-0.8261,7.1739
21:50:24.394,22.3,42.2,534,-0.1192,7.7879
21:50:24.433,25.2,37.9,534,0.5775,8.3943
21:50:24.475,23.9,40.3,534,0.5473,7.5610
21:50:24.519,22.5,42.8,533,0.2477,7.9269
21:50:24.564,22.7,41.3,533,-0.4465,7.4533
21:50:24.607,23.2,40.5,533,0.1489,7.4837
21:50:24.643,27.5,34.4,533,0.5698,6.6635
21:50:24.689,21.6,42.8,533,0.1287,7.5608
21:50:24.737,21.1,43.4,533,-0.2153,8.3930
21:50:24.776,25.4,36.8,533,-0.2834,8.7224
21:50:24.820,22.6,37.7,532,-1.0287,8.4059
21:50:24.862,23.9,40.0,532,-0.7340,8.2396
21:50:24.907,22.3,43.0,532,-1.4017,8.8575
21:50:24.945,26.2,35.7,532,-1.7740,9.7660
21:50:24.996,19.8,47.9,532,-1.5089,10.5683
21:50:25.037,24.2,38.3,532,-1.0655,9.7024
21:50:25.080,23.3,40.7,532,-1.7719,9.3455
21:50:25.127,21.4,44.5,532,-0.8732,9.0900
21:50:25.163,27.2,35.1,532,-1.3131,9.7498
21:50:25.211,20.8,44.4,532,-1.9431,9.2182
21:50:25.252,24.9,38.4,532,-2.5036,8.6834
21:50:25.292,24.6,37.9,532,-1.7332,8.0919
21:50:25.338,21.9,42.8,532,-1.0228,7.3889
21:50:25.380,23.8,38.6,532,-0.4012,6.6991
21:50:25.432,19.2,48.4,532,-0.3280,6.8911
21:50:25.481,20.4,47.0,532,-0.4750,6.8287
21:50:25.526,22.5,41.3,532,0.0703,7.4601
21:50:25.569,22.9,40.8,532,0.2158,6.9689
21:50:25.614,22.4,42.4,532,1.0395,6.7801
21:50:25.652,26.1,36.7,532,0.1490,6.4523
21:50:25.689,27.3,34.5,532,-0.5657,5.9211
21:50:25.733,22.7,41.8,532,-1.4891,5.5840
21:50:25.786,19.0,49.5,532,-0.9110,6.3999
21:50:25.830,22.7,41.0,532,-0.2146,7.1173
21:50:25.870,24.7,37.4,532,-0.5716,6.1976
21:50:25.915,22.4,43.0,532,-1.2795,6.5504
21:50:25.958,23.0,41.0,532,-0.7240,6.3533
21:50:25.993,28.6,32.6,532,-0.5318,5.7225
21:50:26.030,27.5,34.8,532,-1.2277,6.4388
21:50:26.077,21.2,45.3,532,-1.7351,6.4705
21:50:26.123,21.8,43.2,532,-1.8887,5.6077
21:50:26.162,25.7,36.1,532,-1.5987,6.1337
21:50:26.194,30.9,30.4,532,-1.7234,6.5527
21:50:26.237,23.0,40.8,532,-2.6867,6.4384
21:50:26.282,22.3,42.9,532,-2.6914,6.4307
21:50:26.328,22.0,43.0,532,-2.2504,6.5129
21:50:26.366,26.3,35.9,532,-3.2492,6.5604
21:50:26.408,23.7,39.9,532,-3.1355,7.2623
21:50:26.457,20.3,42.7,532,-3.4525,8.1961
21:50:26.495,26.4,35.7,532,-4.2087,8.7874
21:50:26.539,23.0,41.2,532,-3.9100,9.7268
21:50:26.585,21.8,43.0,532,-3.5517,9.7186
21:50:26.628,23.0,40.6,532,-3.4819,10.6418
21:50:26.673,22.2,42.7,532,-3.2672,11.3396
21:50:26.718,22.2,42.5,532,-3.4313,11.4522
21:50:26.756,26.2,36.5,532,-2.9733,11.1467
21:50:26.801,22.3,41.9,532,-2.9087,11.3409
21:50:26.835,29.1,32.7,531,-3.3423,11.5205
21:50:26.879,22.8,41.7,531,-3.4676,11.7223
21:50:26.922,23.4,39.6,531,-4.2242,11.9832
21:50:26.965,23.3,40.4,531,-3.2346,11.9317
21:50:27.013,20.9,44.6,531,-2.2555,12.1098
21:50:27.058,21.9,41.0,531,-2.7093,12.1485
21:50:27.102,22.9,41.8,531,-3.2378,11.3490
21:50:27.144,23.8,39.9,531,-3.7662,10.5066
21:50:27.181,26.7,35.2,531,-4.6195,9.9851
21:50:27.225,22.8,41.7,531,-4.5342,9.0948
21:50:27.268,23.6,40.4,531,-4.9981,9.8525
21:50:27.306,26.1,36.4,531,-4.8311,9.6660
21:50:27.348,23.5,39.8,531,-5.3930,10.3979
21:50:27.397,20.5,47.0,531,-4.5563,10.1971
21:50:27.446,20.6,45.8,531,-5.0516,9.7444
21:50:27.491,22.2,43.0,531,-5.8289,9.3441
21:50:27.536,22.3,43.0,531,-5.3375,8.9392
21:50:27.576,24.8,37.3,531,-5.6675,8.5604
21:50:27.617,24.3,38.9,531,-5.5273,9.1692
21:50:27.663,21.6,43.5,531,-5.0254,9.2009
21:50:27.713,20.2,46.4,531,-4.6791,9.6247
21:50:27.759,21.8,43.2,531,-3.6791,9.6318
21:50:27.798,25.2,36.0,531,-4.4494,9.0804
21:50:27.851,19.1,44.1,531,-5.3461,8.6968
21:50:27.892,24.4,38.0,531,-5.4400,7.7560
21:50:27.931,25.2,36.9,531,-5.8157,7.8726
21:50:27.973,24.1,38.6,531,-5.9023,7.3952
21:50:28.018,21.9,43.2,531,-5.2599,7.6068
21:50:28.063,22.3,42.5,531,-4.8895,6.8319
21:50:28.110,21.3,44.5,531,-4.3440,6.0298
21:50:28.154,22.7,41.5,531,-5.1025,6.5851
21:50:28.201,21.2,44.6,531,-5.2373,5.5977
21:50:28.243,24.0,38.7,531,-5.2688,4.5987
21:50:28.283,25.4,37.1,531,-5.9412,4.0812
21:50:28.333,19.7,47.5,531,-5.3552,4.8771
21:50:28.379,21.9,42.8,531,-6.1431,4.7863
21:50:28.417,26.2,35.3,531,-6.6022,5.1067
21:50:28.450,30.6,30.4,531,-7.0068,4.2116
21:50:28.495,22.4,41.5,531,-7.6653,3.5395
21:50:28.538,23.2,40.5,531,-8.1096,2.6962
21:50:28.582,22.4,41.4,531,-7.4031,2.0974
21:50:28.620,26.3,36.1,531,-8.2748,2.4743
21:50:28.664,22.9,41.6,531,-8.7605,3.1317
21:50:28.708,22.8,42.2,531,-9.0684,3.8091
21:50:28.745,26.8,35.0,531,-8.4430,4.3562
21:50:28.785,25.0,38.3,531,-7.4940,4.0445
21:50:28.823,26.5,35.7,531,-6.5815,3.8788
21:50:28.867,22.6,41.5,531,-5.7516,3.3567
21:50:28.908,24.3,39.4,531,-6.0773,4.1138
21:50:28.951,23.3,41.3,531,-6.2664,3.8831
21:50:28.991,25.1,36.8,531,-6.4903,2.9787
21:50:29.034,23.2,39.8,531,-5.8623,2.2017
21:50:29.071,26.8,34.9,531,-6.3124,1.4740
21:50:29.112,24.4,39.3,531,-6.0866,0.6889
21:50:29.152,24.9,38.3,531,-5.2720,1.2612
21:50:29.197,22.6,41.5,531,-4.3602,0.9683
21:50:29.232,28.6,33.3,531,-3.7760,1.5742
21:50:29.268,27.3,33.9,531,-4.4890,1.0238
21:50:29.317,20.5,46.4,531,-3.8575,1.7918
21:50:29.358,24.4,38.3,530,-3.1441,1.4044
21:50:29.396,26.4,36.0,530,-2.6617,2.1592
21:50:29.434,26.5,36.2,530,-2.9778,3.0312
21:50:29.479,22.0,40.4,530,-2.8991,2.0398
21:50:29.518,25.9,36.8,530,-2.5560,2.0736
21:50:29.556,26.2,35.6,530,-1.6949,2.5487
21:50:29.598,24.0,39.7,530,-1.3790,1.6067
21:50:29.642,22.8,41.8,530,-0.7959,0.8574
21:50:29.684,23.7,40.4,530,-0.1424,0.9745
21:50:29.722,26.4,36.2,530,0.1397,1.2578
21:50:29.760,26.0,36.3,530,-0.2573,0.3893
21:50:29.809,20.6,46.6,530,-0.7081,-0.1986
21:50:29.854,22.3,43.3,530,-0.8322,-0.1519
21:50:29.894,25.1,37.3,530,-0.4757,-0.5027
21:50:29.932,26.2,35.2,530,-0.8391,-1.1210
21:50:29.977,22.2,42.5,530,-1.3519,-1.5665
21:50:30.016,25.5,37.0,530,-0.7491,-1.9349
21:50:30.060,22.8,41.1,530,-0.6329,-1.9007
21:50:30.101,24.4,38.5,530,-0.5555,-2.8771
21:50:30.143,23.6,39.1,530,-1.1678,-2.5097
21:50:30.186,23.3,41.3,530,-1.0862,-3.4947
21:50:30.229,23.5,41.0,530,-0.5609,-3.3919
21:50:30.263,28.8,33.0,530,-0.2066,-4.3040
21:50:30.307,22.7,42.2,530,-0.7514,-3.5537
21:50:30.361,18.5,50.9,530,-1.1746,-3.2192
21:50:30.406,22.2,41.8,530,-1.6912,-3.1690
21:50:30.446,25.3,36.7,530,-0.7197,-3.3913
21:50:30.490,22.6,41.4,530,-0.7757,-3.2167
21:50:30.535,22.2,42.4,530,-1.5555,-2.6219
21:50:30.578,23.5,40.5,530,-1.2261,-2.2447
21:50:30.621,23.3,39.9,530,-1.9620,-2.2230
21:50:30.663,23.7,39.3,530,-2.8901,-2.2675
21:50:30.710,21.3,44.1,529,-2.2174,-1.8387
21:50:30.754,22.7,40.8,528,-1.5245,-1.4382
21:50:30.797,23.2,39.8,528,-0.7137,-1.0590
21:50:30.843,21.9,42.9,528,-0.0025,-0.6633
21:50:30.886,23.0,40.3,528,0.7184,-0.2912
21:50:30.928,24.0,39.0,528,1.5009,0.0424
21:50:30.973,22.0,42.5,528,2.2983,-0.1203
21:50:31.023,20.2,47.4,528,3.1920,0.0108
21:50:31.067,22.5,42.2,528,4.1507,-0.2214
21:50:31.115,20.7,44.8,528,3.1881,0.0494
21:50:31.162,21.5,43.5,528,3.4659,0.6914
21:50:31.207,22.4,42.0,528,3.4757,1.1514
21:50:31.251,22.3,42.5,528,3.1037,0.5127
21:50:31.297,21.9,43.1,527,3.6240,1.2555
21:50:31.348,19.8,47.9,527,4.3792,1.7723
21:50:31.392,22.4,41.4,527,4.6725,2.3627
21:50:31.433,24.5,38.0,526,3.8203,1.9311
21:50:31.473,25.2,36.4,526,4.8154,2.0239
21:50:31.517,22.6,40.6,522,5.8055,1.9380
21:50:31.564,21.2,44.6,522,6.7978,1.8427
21:50:31.610,21.7,44.3,522,7.7823,1.9891
21:50:31.656,21.9,42.4,522,8.0132,1.4209
21:50:31.703,21.2,45.6,519,7.8866,0.9002
21:50:31.756,19.0,49.4,511,8.0492,0.1158
21:50:31.797,24.1,38.9,501,8.1655,-0.5785
21:50:31.849,19.4,48.4,626,8.5403,-1.2294
21:50:31.896,21.1,43.9,624,8.5518,-1.7938
21:50:31.945,20.3,46.8,611,9.4758,-1.9896
21:50:31.987,23.7,38.6,605,9.5582,-2.5645
21:50:32.036,20.5,46.0,598,9.6562,-3.0879
21:50:32.090,18.4,51.5,595,10.3317,-3.4715
21:50:32.129,26.2,36.3,591,11.3094,-3.5907
21:50:32.174,22.0,42.5,590,12.2703,-3.6878
21:50:32.217,23.3,40.5,586,11.6783,-3.1827
21:50:32.256,25.5,36.8,586,10.9550,-2.7221
21:50:32.300,22.9,41.8,585,11.0655,-3.2528
21:50:32.351,19.4,48.8,575,11.1598,-3.8135
21:50:32.398,21.3,44.0,543,11.2106,-4.3345
21:50:32.444,21.8,43.7,571,11.6924,-4.2528
21:50:32.491,21.5,44.0,569,11.5478,-4.1636
21:50:32.541,20.0,46.9,569,11.8484,-3.5483
21:50:32.577,27.6,33.4,569,11.8196,-4.0462
21:50:32.627,20.0,47.3,566,11.0081,-3.4627
21:50:32.677,20.0,46.3,564,10.4412,-3.7313
21:50:32.715,26.0,35.1,561,9.8315,-3.1973
21:50:32.757,23.7,39.5,561,8.9346,-3.4307
21:50:32.805,21.2,44.3,559,8.8060,-2.9445
21:50:32.851,21.5,43.7,558,7.9868,-3.2866
21:50:32.895,22.8,41.8,558,7.8816,-2.8314
21:50:32.942,21.4,44.8,555,7.6219,-2.4060
21:50:32.989,21.0,44.5,551,7.7687,-2.5306
21:50:33.030,24.4,37.6,546,8.1244,-2.6627
21:50:33.078,20.9,45.0,543,8.4579,-2.7611
21:50:33.122,22.9,41.6,543,8.2759,-2.5609
21:50:33.163,24.6,38.9,527,8.5810,-3.3692
21:50:33.204,23.9,40.1,527,8.5342,-3.6331
21:50:33.250,22.0,43.1,527,9.2314,-3.9256
21:50:33.292,23.4,41.1,527,9.1440,-4.8712
21:50:33.330,26.5,35.1,502,8.9922,-4.3941
21:50:33.370,24.9,37.0,502,8.9147,-3.4623
21:50:33.420,19.9,47.8,502,7.9376,-3.6638
21:50:33.468,21.2,44.5,502,7.8335,-4.1396
21:50:33.508,24.9,37.6,501,8.3616,-4.2981
21:50:33.551,23.4,40.3,501,7.9548,-3.6254
21:50:33.598,21.3,42.8,501,8.2785,-3.0797
21:50:33.652,18.2,52.5,555,7.5104,-2.7012
21:50:33.696,23.0,39.9,555,7.3740,-2.4152
21:50:33.736,25.0,37.4,555,6.3844,-2.2887
21:50:33.783,21.4,43.8,555,5.7264,-3.0382
21:50:33.828,22.3,42.9,555,5.5314,-3.7914
21:50:33.864,27.1,34.1,555,4.7522,-3.1957
21:50:33.908,23.2,40.7,554,5.2841,-4.0417
21:50:33.951,22.8,42.0,553,4.4035,-3.5892
21:50:33.999,21.2,44.2,552,3.5441,-3.8637
21:50:34.039,24.8,38.6,551,3.0746,-2.9808
21:50:34.080,24.5,39.2,551,3.8718,-3.4870
21:50:34.122,23.5,40.9,551,4.5039,-2.8455
21:50:34.169,21.5,44.5,551,5.1758,-2.4231
21:50:34.209,24.7,38.6,550,4.5410,-1.6592
21:50:34.248,25.6,37.4,550,4.2182,-0.8229
21:50:34.296,20.7,46.1,550,4.8683,-1.4583
21:50:34.343,21.3,44.1,550,5.7324,-1.8907
21:50:34.383,25.1,38.3,550,4.8212,-2.3023
21:50:34.426,23.4,39.3,550,5.4372,-2.8007
21:50:34.475,20.6,45.4,550,4.5316,-2.4771
21:50:34.515,24.6,38.9,550,4.9399,-3.3454
21:50:34.553,26.3,35.0,550,5.9354,-3.3928
21:50:34.596,23.3,40.2,550,5.9809,-4.3572
21:50:34.641,22.4,41.2,550,5.2257,-4.2584
21:50:34.681,24.6,37.1,550,5.5456,-4.9891
21:50:34.724,23.2,40.0,550,6.2548,-5.4720
21:50:34.768,23.0,41.6,550,6.6677,-5.8840
21:50:34.812,22.6,41.6,550,5.9617,-5.4435
21:50:34.849,27.5,34.5,550,6.8830,-5.4698
21:50:34.896,21.0,45.1,550,7.1116,-5.9331
21:50:34.935,26.0,36.3,549,6.7648,-5.3371
21:50:34.976,24.5,38.7,549,6.4177,-4.7391
21:50:35.022,21.4,43.6,549,6.4762,-5.4930
21:50:35.071,20.7,45.2,549,7.4084,-5.1329
21:50:35.110,25.5,35.9,549,7.6033,-6.0830
21:50:35.146,27.9,34.3,549,6.7578,-6.5141
21:50:35.195,20.4,43.9,549,7.7505,-6.4403
21:50:35.245,19.9,47.5,549,7.9083,-6.1906
21:50:35.289,23.0,40.6,549,8.4369,-5.3467
21:50:35.332,23.2,41.4,549,8.5423,-5.4612
21:50:35.377,22.1,43.0,549,8.9368,-4.5848
21:50:35.422,22.3,41.7,549,9.1803,-4.4450
21:50:35.462,25.0,37.8,549,8.9625,-4.3913
21:50:35.505,23.1,41.2,549,8.9821,-3.3923
21:50:35.547,23.7,39.4,549,9.2298,-2.8470
21:50:35.592,22.2,41.7,549,9.2597,-2.9855
21:50:35.639,21.2,43.3,549,9.0910,-2.1320
21:50:35.691,19.1,49.4,549,8.8807,-2.4864
21:50:35.729,26.9,35.5,549,8.5534,-2.6311
21:50:35.767,26.1,36.1,549,8.2706,-2.2618
21:50:35.810,23.4,40.3,549,8.2603,-1.7752
21:50:35.857,21.2,44.5,549,8.6063,-1.1880
21:50:35.897,25.0,37.5,549,8.3116,-1.8501
21:50:35.941,22.7,42.3,549,8.1274,-2.4362
21:50:35.988,21.2,44.6,549,8.8763,-1.9984
21:50:36.031,23.5,39.6,549,9.5237,-1.4482
21:50:36.068,26.8,35.6,549,8.8908,-1.9500
21:50:36.114,21.7,44.6,549,8.7106,-2.5676
21:50:36.156,23.8,40.4,549,8.9211,-3.3144
21:50:36.201,22.5,42.7,549,8.6260,-2.4948
21:50:36.240,25.3,36.9,549,9.5502,-2.1132
21:50:36.285,22.0,42.6,549,10.2406,-1.4901
21:50:36.328,23.2,39.9,549,10.5219,-0.9960
21:50:36.374,21.8,44.0,549,9.9322,-0.1885
21:50:36.412,26.4,36.0,549,10.1337,0.7118
21:50:36.458,21.7,44.5,549,10.9020,1.3209
21:50:36.505,21.4,44.8,549,11.8732,1.2124
21:50:36.548,23.1,41.6,549,11.2603,1.1154
21:50:36.597,20.5,45.6,549,10.4247,1.0520
21:50:36.639,23.9,40.0,549,9.5808,1.0166
21:50:36.681,23.8,40.4,549,9.8152,1.6608
21:50:36.722,24.6,37.8,549,8.9444,1.5292
21:50:36.764,23.6,39.7,549,9.3486,0.6168
21:50:36.812,21.0,44.8,549,9.8192,1.3824
21:50:36.855,22.8,39.9,549,9.6943,2.3227
21:50:36.897,23.8,38.8,548,10.0870,2.8599
21:50:36.935,26.7,34.3,548,10.6209,3.7054
21:50:36.979,22.9,41.3,548,11.3725,3.8859
21:50:37.018,25.2,36.8,548,11.4940,4.5316
21:50:37.060,24.0,37.5,548,12.1803,4.7735
21:50:37.096,27.5,34.8,548,12.8810,5.0223
21:50:37.141,22.2,42.5,548,12.9838,5.6528
21:50:37.188,21.6,42.9,548,12.5657,6.3473
21:50:37.227,25.5,36.8,548,13.0760,6.7644
21:50:37.271,22.4,42.2,548,14.0651,6.6429
21:50:37.319,20.9,45.2,548,13.8506,5.9718
21:50:37.363,22.9,41.7,548,12.8945,5.8789
21:50:37.406,22.9,40.9,548,12.4706,5.7501
21:50:37.450,22.8,41.7,548,13.0597,5.1577
21:50:37.491,24.9,38.0,548,13.9530,5.1974
21:50:37.536,22.2,43.1,548,14.8368,4.7294
21:50:37.579,22.9,41.3,548,15.8227,4.7541
21:50:37.626,21.5,44.8,548,15.6176,5.4942
21:50:37.673,21.1,44.5,548,15.5068,6.4031
21:50:37.717,22.7,42.1,548,15.5790,7.3228
21:50:37.761,22.9,41.2,547,15.7376,8.2164
21:50:37.811,20.0,47.1,546,15.7939,9.0545
21:50:37.855,22.8,41.2,542,15.8887,10.0064
21:50:37.899,22.5,41.8,542,16.8350,9.8312
21:50:37.946,21.5,43.3,542,17.0249,10.6716
21:50:37.991,22.2,41.8,542,16.1933,10.9650
21:50:38.034,23.0,41.4,542,16.8797,10.3555
21:50:38.076,24.0,38.8,542,16.9037,11.1428
21:50:38.120,22.5,41.6,539,16.4772,11.0075
21:50:38.159,25.7,36.5,538,16.8706,11.1714
21:50:38.194,28.7,31.8,538,16.8695,11.0555
21:50:38.230,27.9,34.4,538,17.1081,11.4048
21:50:38.281,19.4,49.2,538,16.8722,10.4406
21:50:38.327,22.0,42.9,538,16.8529,10.5908
21:50:38.367,25.0,38.0,538,17.5845,11.2698
21:50:38.411,22.9,40.7,537,17.0778,10.5740
21:50:38.455,22.7,40.1,537,17.6609,11.0341
21:50:38.503,20.9,44.8,536,18.3629,11.3878
21:50:38.546,22.9,41.4,536,18.8339,11.8161
21:50:38.585,25.7,36.2,536,19.6590,12.2390
21:50:38.630,22.3,41.7,536,20.0267,12.5982
21:50:38.680,20.1,46.3,536,19.0986,12.8768
