Timestamp,FPS,Delay_ms,TrackedFeatures,Pose_X,Pose_Z,Motion,Rotation
22:14:21.900,0.7,1211.5,0,0.0000,0.0000,Stationary,Stable
22:14:22.011,8.0,80.9,366,0.2682,0.9588,Forward,Clockwise
22:14:22.128,8.5,114.1,390,-0.3754,0.1949,Backward,Stable
22:14:22.231,9.7,100.7,394,0.3071,0.9239,Forward,Counter-Clockwise
22:14:22.326,10.6,91.8,403,1.2153,0.5713,Backward,Counter-Clockwise
22:14:22.421,10.4,93.4,408,1.8947,1.2972,Forward,Stable
22:14:22.513,10.9,89.5,411,1.5047,2.1035,Right,Tilt Down
22:14:22.614,9.9,98.7,412,1.0129,2.1830,Up,Stable
22:14:22.703,11.3,86.0,412,0.0816,2.4229,Backward,Clockwise
22:14:22.807,9.6,101.5,414,0.9417,2.3071,Backward,Stable
22:14:22.916,9.2,106.4,418,0.7287,1.3538,Up,Stable
22:14:23.036,8.3,117.7,418,-0.1374,0.9877,Right,Tilt Up
22:14:23.161,8.0,121.2,419,-0.6713,0.6781,Right,Tilt Up
22:14:23.282,8.2,116.6,419,-1.3724,0.6737,Forward,Stable
22:14:23.344,16.0,60.1,421,-2.2366,0.4888,Forward,Stable
22:14:23.423,12.8,50.3,423,-2.9135,0.6904,Forward,Clockwise
22:14:23.475,19.2,49.0,424,-2.9835,-0.1898,Up,Stable
22:14:23.524,20.3,46.6,424,-2.6891,0.5541,Forward,Counter-Clockwise
22:14:23.578,18.5,51.6,425,-3.2990,0.3484,Right,Tilt Up
22:14:23.630,19.5,49.7,425,-3.3359,0.4875,Right,Tilt Up
22:14:23.679,20.1,46.9,427,-3.6278,-0.3851,Up,Stable
22:14:23.724,22.4,41.2,427,-4.1417,-1.2218,Up,Pan Left
22:14:23.776,19.4,48.7,428,-3.4873,-1.5797,Forward,Stable
22:14:23.833,17.5,54.0,428,-3.1344,-0.8074,Up,Pan Left
22:14:23.903,14.2,65.5,428,-3.7505,-0.1425,Forward,Stable
22:14:23.967,15.7,60.9,428,-4.3564,0.5288,Forward,Counter-Clockwise
22:14:24.039,13.9,69.7,428,-3.8795,0.5922,Right,Stable
22:14:24.105,15.1,63.5,428,-3.7437,1.5728,Forward,Counter-Clockwise
22:14:24.171,15.1,64.4,430,-3.9172,1.7314,Right,Stable
22:14:24.228,17.5,54.7,430,-3.4881,1.2306,Backward,Stable
22:14:24.285,17.6,45.6,431,-4.1305,1.6714,Forward,Counter-Clockwise
22:14:24.336,19.6,48.4,431,-3.4891,0.9255,Up,Pan Left
22:14:24.384,21.0,46.0,433,-3.8844,0.1008,Forward,Stable
22:14:24.426,24.0,38.6,439,-3.3947,0.7458,Backward,Stable
22:14:24.467,24.1,38.9,440,-4.0027,1.4847,Up,Stable
22:14:24.516,20.5,45.5,443,-3.3541,2.0504,Backward,Stable
22:14:24.566,20.1,46.4,443,-3.7272,1.1368,Forward,Stable
22:14:24.619,18.7,51.0,443,-4.0596,0.3435,Forward,Stable
22:14:24.666,21.5,44.7,446,-4.3452,-0.5159,Forward,Stable
22:14:24.717,19.6,48.4,449,-3.9304,0.3050,Backward,Stable
22:14:24.768,19.3,50.2,452,-4.5865,-0.3694,Forward,Stable
22:14:24.817,20.5,47.0,454,-4.2160,0.4234,Backward,Stable
22:14:24.863,21.6,43.3,458,-3.7077,0.9368,Backward,Stable
22:14:24.921,17.5,54.0,458,-2.9811,1.3417,Backward,Stable
22:14:24.973,19.0,49.5,460,-2.4039,1.9608,Backward,Stable
22:14:25.018,22.5,42.6,462,-1.7106,2.4509,Backward,Stable
22:14:25.065,21.1,45.6,463,-1.6906,1.4916,Down,Stable
22:14:25.114,20.6,45.8,470,-1.9782,1.1193,Right,Stable
22:14:25.154,24.6,37.7,473,-2.7932,1.5827,Up,Pan Right
22:14:25.203,20.4,46.6,477,-2.2939,2.4324,Forward,Stable
22:14:25.253,20.3,46.2,479,-2.0534,3.3903,Forward,Stable
22:14:25.301,20.7,44.7,480,-2.5280,2.5128,Backward,Stable
22:14:25.352,19.7,47.7,493,-3.0067,1.6359,Backward,Stable
22:14:25.402,19.9,48.1,514,-3.4891,0.7602,Backward,Stable
22:14:25.449,21.3,43.9,514,-4.0423,-0.0677,Backward,Stable
22:14:25.487,25.9,35.3,513,-4.6380,-0.8551,Backward,Stable
22:14:25.526,25.9,35.9,513,-5.1349,-1.7227,Backward,Stable
22:14:25.572,21.7,42.8,513,-5.2717,-1.1413,Left,Stable
